x,y,z,x_rotation,y_rotation,z_rotation,row,size,material,color,legend1_text,legend1_font_family,legend1_font_size,legend1_font_bold,legend1_font_italic,legend1_font_color,legend1_offset_x,legend1_offset_y,legend1_align,legend1_rotation,legend2_text,legend2_font_family,legend2_font_size,legend2_font_bold,legend2_font_italic,legend2_font_color,legend2_offset_x,legend2_offset_y,legend2_align,legend2_rotation,legend3_text,legend3_font_family,legend3_font_size,legend3_font_bold,legend3_font_italic,legend3_font_color,legend3_offset_x,legend3_offset_y,legend3_align,legend3_rotation,legend4_text,legend4_font_family,legend4_font_size,legend4_font_bold,legend4_font_italic,legend4_font_color,legend4_offset_x,legend4_offset_y,legend4_align,legend4_rotation
90,0,-38.25,0,0,0,R3,1u,resin,purple,K,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
126,0,-38.25,0,0,0,R2,1u,resin,black,P,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
-108,0,-34,0,0,0,R3,1u,resin,purple,S,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
-72,0,-34,0,0,0,R3,1u-homing,resin,purple,F,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
-54,0,-34,0,0,0,R3,1u,resin,purple,G,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
54,0,-34,0,0,0,R3,1u,resin,purple,H,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
72,0,-34,0,0,0,R3,1u-homing,resin,purple,J,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
108,0,-34,0,0,0,R3,1u,resin,purple,L,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
-126,0,-21.25,0,0,0,R3,1u,resin,purple,A,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
-90,0,-21.25,0,0,0,R3,1u,resin,black,C,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
90,0,-21.25,0,0,0,R3,1u,resin,black,",",Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
126,0,-21.25,0,0,0,R3,1u,resin,purple,;,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
-108,0,-17,0,0,0,R3,1u,resin,black,X,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
-72,0,-17,0,0,0,R3,1u,resin,black,V,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
-54,0,-17,0,0,0,R4,1u,resin,black,B,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
-36,0,-17,0,0,0,R2,1u,resin,purple,TabL,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
36,0,-17,0,0,0,R2,1u,resin,purple,TabR,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
54,0,-17,0,0,0,R4,1u,resin,black,N,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
72,0,-17,0,0,0,R3,1u,resin,black,M,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
108,0,-17,0,0,0,R3,1u,resin,black,.,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
-126,0,-4.25,0,0,0,R4,1u,resin,black,Z,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
-90,0,-4.25,0,0,0,R4,1u,resin,black,Esc,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
90,0,-4.25,0,0,0,R4,1u,resin,black,Del,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
126,0,-4.25,0,0,0,R4,1u,resin,black,/,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
-108,0,0,0,0,0,R4,1u,resin,black,CW,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
-72,0,0,0,0,0,R4,1u,resin,black,Ctrl,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
-54,0,0,0,0,0,Thumb,1u,resin,black,Ret,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
-36,0,0,0,0,0,Thumb,1u,resin,purple,Spc,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
-18,0,0,0,0,0,Thumb,1u,resin,black,Num,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
18,0,0,0,0,0,Thumb,1u,resin,black,Nav,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
36,0,0,0,0,0,Thumb,1u,resin,purple,Bspc,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
54,0,0,0,0,0,Thumb,1u,resin,black,Sft,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
72,0,0,0,0,0,Thumb,1u,resin,black,Menu,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
108,0,0,0,0,0,"Thumb
",1u,resin,black,Caps,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
-72,0,17,0,0,0,Thumb,1u,resin,black,Ctrl,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
72,0,17,0,0,0,Thumb,1u,resin,black,Menu,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
